PART_ID,TRIAL,TRAINING,PATTERN,CORRECT,CONFIDENCE,LATENCY
M,1,1,3,0,-,3.272506000001158
M,2,1,1,1,-,1.467228100002103
M,3,1,2,1,-,1.4379383000014059
M,4,1,3,-,-,2.588943200000358
M,5,1,2,0,-,0.2344081000010192
M,6,1,1,0,-,2.393583500001114
M,1,0,1,0,-,2.7415698999975575
M,2,0,2,0,-,2.3894562999994378
M,3,0,3,0,-,1.1047266999994463
M,4,0,3,-,-,0.7170678000002226
M,5,0,2,1,-,0.10449610000068787
M,6,0,1,1,-,0.6107685000024503
M,1,0,3,0,['4'],1.7345927999995183
M,2,0,1,0,['5'],1.7821407000010367
M,3,0,2,0,['6'],3.0486129999990226
M,4,0,3,-,['5'],3.5372509000007994
M,5,0,1,1,['5'],2.6726883000010275
M,6,0,2,-,,-
